report_date,load_type,load_time,dropoff_site,load_weight
2021-01-01,SWEEPING,2021-01-01 12:00:00.000000 UTC,ONION CREEK,
2021-01-01,SWEEPING,2021-01-01 12:00:00.000000 UTC,ONION CREEK,
2021-01-01,SWEEPING,2021-01-01 12:00:00.000000 UTC,ONION CREEK,
2021-01-01,SWEEPING,2021-01-01 12:00:00.000000 UTC,ONION CREEK,
2021-01-02,TIRES,2021-01-02 09:24:00.000000 UTC,MRF,1640.0
2021-01-02,TIRES,2021-01-02 11:47:00.000000 UTC,MRF,940.0
2021-01-02,RECYCLING - SINGLE STREAM,2021-01-02 12:00:00.000000 UTC,TDS - MRF,320.0
2021-01-02,RECYCLING - SINGLE STREAM,2021-01-02 09:02:00.000000 UTC,TDS - MRF,520.0
2021-01-02,SWEEPING,2021-01-02 12:00:00.000000 UTC,ONION CREEK,
2021-01-02,SWEEPING,2021-01-02 12:00:00.000000 UTC,ONION CREEK,
2021-01-02,SWEEPING,2021-01-02 12:00:00.000000 UTC,ONION CREEK,
2021-01-02,YARD TRIMMING,2021-01-02 05:44:00.000000 UTC,HORNSBY BEND,17660.0
2021-01-02,YARD TRIMMING,2021-01-02 12:04:00.000000 UTC,HORNSBY BEND,18220.0
2021-01-02,YARD TRIMMING,2021-01-02 05:45:00.000000 UTC,HORNSBY BEND,7400.0
2021-01-02,YARD TRIMMING,2021-01-02 02:05:00.000000 UTC,HORNSBY BEND,17880.0
2021-01-02,YARD TRIMMING,2021-01-02 01:02:00.000000 UTC,HORNSBY BEND,17660.0
2021-01-02,BULK,2021-01-02 02:16:00.000000 UTC,TDS LANDFILL,12480.0
2021-01-02,BULK,2021-01-02 12:25:00.000000 UTC,TDS LANDFILL,10200.0
2021-01-02,BULK,2021-01-02 02:13:00.000000 UTC,TDS LANDFILL,5440.0
2021-01-02,DEAD ANIMAL,2021-01-02 04:27:00.000000 UTC,TDS LANDFILL,140.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 02:44:00.000000 UTC,TDS LANDFILL,24580.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 12:00:00.000000 UTC,TDS LANDFILL,13020.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 01:34:00.000000 UTC,TDS LANDFILL,17340.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 01:19:00.000000 UTC,TDS LANDFILL,19300.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 10:24:00.000000 UTC,TDS LANDFILL,22500.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 12:44:00.000000 UTC,TDS LANDFILL,15840.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 12:03:00.000000 UTC,TDS LANDFILL,24560.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 12:40:00.000000 UTC,TDS LANDFILL,17580.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 01:02:00.000000 UTC,TDS LANDFILL,8420.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 11:13:00.000000 UTC,TDS LANDFILL,12380.0
2021-01-02,GARBAGE COLLECTIONS,2021-01-02 12:20:00.000000 UTC,TDS LANDFILL,8400.0
